s,p,o
http://rdf.geohistoricaldata.org/id/directories/entry/192647,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192649,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192660,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192670,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192683,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192706,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192708,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192731,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192750,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192752,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192759,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192770,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192782,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192799,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/831237,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192818,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192832,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192836,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192852,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192856,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192862,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192874,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192878,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192881,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192883,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
