s,p,o
http://rdf.geohistoricaldata.org/id/directories/entry/980407,http://rdf.geohistoricaldata.org/def/directory#numEntry,199421
http://rdf.geohistoricaldata.org/id/directories/entry/980408,http://rdf.geohistoricaldata.org/def/directory#numEntry,199512
http://rdf.geohistoricaldata.org/id/directories/entry/980409,http://rdf.geohistoricaldata.org/def/directory#numEntry,200650
http://rdf.geohistoricaldata.org/id/directories/entry/980410,http://rdf.geohistoricaldata.org/def/directory#numEntry,206006
http://rdf.geohistoricaldata.org/id/directories/entry/980411,http://rdf.geohistoricaldata.org/def/directory#numEntry,206581
http://rdf.geohistoricaldata.org/id/directories/entry/980412,http://rdf.geohistoricaldata.org/def/directory#numEntry,206753
http://rdf.geohistoricaldata.org/id/directories/entry/980413,http://rdf.geohistoricaldata.org/def/directory#numEntry,211218
http://rdf.geohistoricaldata.org/id/directories/entry/980414,http://rdf.geohistoricaldata.org/def/directory#numEntry,211969
http://rdf.geohistoricaldata.org/id/directories/entry/980415,http://rdf.geohistoricaldata.org/def/directory#numEntry,214301
http://rdf.geohistoricaldata.org/id/directories/entry/980416,http://rdf.geohistoricaldata.org/def/directory#numEntry,216772
http://rdf.geohistoricaldata.org/id/directories/entry/980417,http://rdf.geohistoricaldata.org/def/directory#numEntry,216975
http://rdf.geohistoricaldata.org/id/directories/entry/980418,http://rdf.geohistoricaldata.org/def/directory#numEntry,216975
http://rdf.geohistoricaldata.org/id/directories/entry/980419,http://rdf.geohistoricaldata.org/def/directory#numEntry,217056
http://rdf.geohistoricaldata.org/id/directories/entry/980420,http://rdf.geohistoricaldata.org/def/directory#numEntry,221395
http://rdf.geohistoricaldata.org/id/directories/entry/980421,http://rdf.geohistoricaldata.org/def/directory#numEntry,221912
http://rdf.geohistoricaldata.org/id/directories/entry/980422,http://rdf.geohistoricaldata.org/def/directory#numEntry,223197
http://rdf.geohistoricaldata.org/id/directories/entry/980423,http://rdf.geohistoricaldata.org/def/directory#numEntry,225021
http://rdf.geohistoricaldata.org/id/directories/entry/980424,http://rdf.geohistoricaldata.org/def/directory#numEntry,225827
http://rdf.geohistoricaldata.org/id/directories/entry/980425,http://rdf.geohistoricaldata.org/def/directory#numEntry,228528
http://rdf.geohistoricaldata.org/id/directories/entry/980426,http://rdf.geohistoricaldata.org/def/directory#numEntry,230641
http://rdf.geohistoricaldata.org/id/directories/entry/980427,http://rdf.geohistoricaldata.org/def/directory#numEntry,232840
http://rdf.geohistoricaldata.org/id/directories/entry/980428,http://rdf.geohistoricaldata.org/def/directory#numEntry,232883
http://rdf.geohistoricaldata.org/id/directories/entry/980429,http://rdf.geohistoricaldata.org/def/directory#numEntry,232883
http://rdf.geohistoricaldata.org/id/directories/entry/980430,http://rdf.geohistoricaldata.org/def/directory#numEntry,233118
http://rdf.geohistoricaldata.org/id/directories/entry/980431,http://rdf.geohistoricaldata.org/def/directory#numEntry,233196
